model,run_label,training_seed,model_display_name,n_volumes,wt_evanyseg_mean,wt_evanyseg_std,wt_evanyseg_median,wt_evanyseg_ci95_lower,wt_evanyseg_ci95_upper,condition_adherence_dice_mean,condition_adherence_dice_std,empty_prediction_percentage
conditional_ddpm_v3,v3,2028,Conditional DDPM V3,200,0.871767578125,0.0448519591413095,0.880126953125,0.8655590209960937,0.8777124633789063,0.6867524028466518,0.2541985021695803,0.0
conditional_ldm_v4,v3,2028,Conditional LDM V4,200,0.863720703125,0.06092636150124804,0.8798828125,0.8550069580078126,0.8717141723632812,0.6651816083208141,0.2428616721750919,0.0
ddpm_v5,v3,2028,DDPM V5,200,0.78807861328125,0.0702829726438768,0.796142578125,0.7782859497070312,0.7977222900390625,,,0.0
