epoch,train_mse,val_mse,val_mae,val_rmse,val_pearson,learning_rate
1,0.022945349464650742,0.037328438544108604,0.14635703705537778,0.19320569090130382,0.4138722241560384,0.0001
2,0.020516514072033504,0.032859471521155335,0.13613355760104381,0.18127181736816392,0.5802496181399857,0.0001
3,0.019232413793696862,0.03209360138640617,0.13474825945897745,0.17914687136717058,0.575699943680987,0.0001
4,0.01849250606234049,0.03262776415302562,0.13736781849024388,0.18063157067256488,0.4883091824124136,0.0001
5,0.016567275213394447,0.028016902461128597,0.12767294695457587,0.16738250276810107,0.5989281009480623,0.0001
6,0.016088365117383756,0.02547066247430988,0.13659618340719204,0.15959530809030978,0.6274855995025764,0.0001
7,0.015990238993897666,0.023295451015628015,0.11662220248522667,0.15262847413558747,0.6514685941781895,0.0001
8,0.014812427541262599,0.021764770306897566,0.11293863635510207,0.14752887997539643,0.6857618124510715,0.0001
9,0.012836999934146958,0.021088813288056722,0.11265815729991747,0.1452198794984786,0.680840657412492,0.0001
10,0.011767542338720186,0.021761814877390862,0.11594368452922656,0.14751886325257255,0.6631932381547924,0.0001
11,0.010209361859699803,0.018145569664641068,0.09800186253224429,0.1347054927035329,0.7452954399756976,0.0001
12,0.009286347970463064,0.016041713012012994,0.09302879026016364,0.12665588374953474,0.7748287810191176,0.0001
13,0.008562559309035796,0.01877901288358911,0.09759283413967261,0.13703653902092133,0.7449492101390788,0.0001
14,0.007239163883527383,0.014778121009854098,0.08804247658699751,0.12156529571248512,0.7910228321366712,0.0001
15,0.006749698845757516,0.015167507310196435,0.093985142888358,0.1231564343811102,0.7908230065570065,0.0001
16,0.006985006189394811,0.014861796641008158,0.09140733026254635,0.12190896869657859,0.7862208810435086,0.0001
17,0.006699666104737044,0.015075636400881474,0.09498060923069715,0.12278288347660013,0.7909820470137758,5e-05
18,0.004871659244477437,0.014211953267938672,0.08566323637675781,0.11921389665757168,0.7962721652559012,5e-05
19,0.004575717925030614,0.01434589160680144,0.09077307861298323,0.11977433579667691,0.8239498795318518,5e-05
20,0.004478679758718639,0.0117864869238579,0.07610531935038475,0.10856558766839684,0.8344077894042456,5e-05
21,0.0040907182382730195,0.01684900998609989,0.08551571854891685,0.1298037362341442,0.8260131346134101,5e-05
22,0.004229158594971348,0.013868537667048469,0.07907753224269702,0.11776475624202683,0.8349521909594253,5e-05
23,0.0038021270091892216,0.011821215099306615,0.07446402911669933,0.10872541162582924,0.8461527517774056,5e-05
24,0.003628705944988243,0.013199118683251772,0.07626987058096207,0.1148874171231369,0.8202952667721545,5e-05
25,0.003660321056731146,0.012026573424988713,0.07868094540272767,0.10966573437909102,0.8344014798611261,5e-05
26,0.003545018826312466,0.013967811376761136,0.07823408594211707,0.11818549520270633,0.8421735873964373,2.5e-05
27,0.0025708003768395078,0.010830724115455199,0.07725722725288225,0.10407076520191215,0.849845708946439,2.5e-05
28,0.002540486305472401,0.010906137602104047,0.07442830094637778,0.1044324547947651,0.848340527577763,2.5e-05
29,0.002563968164932581,0.010834764784941888,0.06833933962938878,0.1040901757149322,0.8645112038666279,2.5e-05
30,0.002558235519869903,0.01037489354180602,0.07577271236536595,0.10185722111394498,0.8582561565708089,2.5e-05
31,0.0024815838210280653,0.01191597507759245,0.07238753854941864,0.10916031732725275,0.8498850284080333,2.5e-05
32,0.0024549187182622326,0.009888560412932398,0.0698305694386363,0.09944124062978854,0.865470914991206,1.25e-05
33,0.0021006426852444257,0.011401503902423499,0.06833947351059089,0.10677782520377241,0.866553636325555,1.25e-05
34,0.0020636923983282976,0.009498980526292984,0.0648025820318323,0.09746271302723727,0.8743910151928528,1.25e-05
35,0.0019331088004550933,0.009353772836262719,0.06968249247337763,0.09671490454188154,0.8722002339216938,1.25e-05
36,0.0019086887715100323,0.010069506151306156,0.07069603713372578,0.10034692904366123,0.8604819608573917,1.25e-05
37,0.001783990814156001,0.010462522132421817,0.06878493272054653,0.102286470153669,0.8642877478828584,6.25e-06
38,0.0016724300314808333,0.009724082555168514,0.06622712937398599,0.0986107627046529,0.8685012584207186,6.25e-06
39,0.0017205104244108218,0.010088046570504397,0.06659782808274031,0.10043926783018768,0.8702519685292059,6.25e-06
40,0.0016716132221114813,0.009562059741699613,0.06533530175399321,0.09778578470164946,0.8728487245136303,3.125e-06
