epoch,train_loss,train_dice,val_loss,val_dice,learning_rate
1,0.6006166746094823,0.6166154301166534,0.5090360450744629,0.681314261937514,0.0002
2,0.3965117142535746,0.71894381970528,0.2936107474565506,0.7309802946075797,0.0002
3,0.20604467545636,0.7746391655062326,0.1617369046807289,0.7802005193382502,0.0002
4,0.13350039573851974,0.8051290913480625,0.1262582116946578,0.7968860506266355,0.0002
5,0.11070503452327102,0.8216123863823899,0.13121052023023366,0.7768878750875592,0.0002
6,0.10519738198723644,0.8233434394467622,0.0953648861683905,0.8369071131944656,0.0002
7,0.096042582874652,0.8367319020349533,0.09936919815838337,0.8269303826242685,0.0002
8,0.0924030014895834,0.8409006203537995,0.10594744289293885,0.8126251844316721,0.0002
9,0.08757765328045934,0.8486441332196293,0.09990145228803157,0.8238832411170006,0.0001
10,0.08009717575274408,0.8610797945410014,0.08135920898988842,0.855039669573307,0.0001
11,0.07581071063876152,0.8684416345522358,0.08410784922540188,0.8504282386600971,0.0001
12,0.07543152626836673,0.8685462969740986,0.08289642718620599,0.8515522575698224,0.0001
13,0.0734610141790472,0.871819303018649,0.07946308290585875,0.8573618260124403,0.0001
14,0.07217229808913544,0.8741905670814767,0.08195598354563118,0.8537717822939157,0.0001
15,0.071854477385059,0.8745547517575324,0.07646984001621604,0.8634285345673561,0.0001
16,0.07167812988627702,0.8747714534417064,0.08237473474815488,0.8517904782295227,0.0001
17,0.07132912678993307,0.8753436717033563,0.08152253476902843,0.8528362032672554,0.0001
18,0.06994854620774277,0.8776041429582984,0.08551700266078115,0.8483111422508955,5e-05
19,0.06647037824383005,0.8836523852683604,0.07527310822159052,0.864176522064954,5e-05
20,0.06550470702582971,0.8854544715583325,0.07983665935695171,0.855672182449824,5e-05
21,0.06505318768555299,0.8862615028396249,0.0748239528760314,0.8652637358713813,5e-05
22,0.06510346145369113,0.8860173922497779,0.07306028421036899,0.8684096296411008,5e-05
23,0.06453974593547172,0.8869756403192878,0.07644627718254923,0.8618583724071621,5e-05
24,0.06511138455942272,0.8858831677783755,0.07228830929845571,0.8695686876939397,5e-05
25,0.0639432428497821,0.8881104219347807,0.07331245835870505,0.8682711854577064,5e-05
26,0.06397333088330924,0.8878456315328367,0.0728765518218279,0.8685011388601263,5e-05
27,0.06376493248273618,0.8882920832559467,0.07381487337872386,0.8664868538354125,2.5e-05
28,0.061348058849107476,0.8925732894986868,0.07309290232136846,0.8684165474772453,2.5e-05
29,0.06095484950230457,0.8931978110984536,0.07612705796957016,0.8627283495805442,2.5e-05
30,0.060746331606060265,0.8935424494386252,0.07366144243627787,0.8669491416474295,1.25e-05
