model,run_label,training_seed,model_display_name,WT_EvanySeg,WT_EvanySeg_CI95_lower,WT_EvanySeg_CI95_upper,WT_condition_adherence_Dice,FID,KID,sFID,Precision,Recall,Density,Coverage,FRD,RadFID,MedFID,Vendi,AuthPct,ASW
ddpm_v5,v2,2027,DDPM V5,0.78677490234375,0.7763158569335937,0.79713134765625,,118.09507666301646,0.11582525048718852,30.616113695300072,0.75,0.24,0.20700000000000002,0.105,58.14404754021522,0.0,0.6867807109813225,2.2291309727560886,92.0,0.4875267343069559
conditional_ddpm_v3,v2,2027,Conditional DDPM V3,0.86486328125,0.8577709350585937,0.8717529907226562,0.6971836581183889,146.4712410746308,0.149751535459376,32.791885763540996,0.885,0.38,0.29200000000000004,0.16,58.11269617810514,0.0,0.44647222684327376,2.8685463913605873,87.0,0.3980132352889115
conditional_ldm_v4,v2,2027,Conditional LDM V4,0.86838134765625,0.8605565185546875,0.8757569580078125,0.6858616447508254,72.98970302008634,0.052912905522739445,7.759118944852566,1.0,0.79,1.224,0.865,51.152709371010616,0.0,0.128687971121938,3.4274449471091866,69.5,0.16910297715722972
