model,run_label,training_seed,model_display_name,n_volumes,wt_evanyseg_mean,wt_evanyseg_std,wt_evanyseg_median,wt_evanyseg_ci95_lower,wt_evanyseg_ci95_upper,condition_adherence_dice_mean,condition_adherence_dice_std,empty_prediction_percentage
conditional_ldm_v4,v2,2027,Conditional LDM V4,200,0.86838134765625,0.055952433686351166,0.887451171875,0.8605565185546875,0.8757569580078125,0.6858616447508254,0.24839960820366735,0.0
conditional_ddpm_v3,v2,2027,Conditional DDPM V3,200,0.86486328125,0.051142782257015094,0.878662109375,0.8577709350585937,0.8717529907226562,0.6971836581183889,0.25918983165270115,0.0
ddpm_v5,v2,2027,DDPM V5,200,0.78677490234375,0.07460851584762838,0.791015625,0.7763158569335937,0.79713134765625,,,0.0
