epoch,train_loss,train_dice,val_loss,val_dice,learning_rate
1,0.6374474655091763,0.6420386095810682,0.5493516051769256,0.6961264328286052,0.0002
2,0.46080185506492854,0.708689262648113,0.3806633071601391,0.7037268428318203,0.0002
3,0.2752611900586635,0.763170396913853,0.19982679933309555,0.7943185199797154,0.0002
4,0.16362598070409148,0.7926892856397899,0.14326625388115644,0.7915176382660866,0.0002
5,0.12208900314755738,0.8179817670631614,0.1270617911219597,0.7932897774502635,0.0002
6,0.11059967280598357,0.8204106614857151,0.10824737515300513,0.8187164844200016,0.0002
7,0.100630358022172,0.8320644364420735,0.10248261017724872,0.823849692568183,0.0002
8,0.09758839500602334,0.8340056045170285,0.10299671739339829,0.8212406688695774,0.0002
9,0.09367428041063249,0.8397223141045614,0.09128499753773213,0.8403478035330773,0.0002
10,0.0892557935626246,0.8461958067771047,0.09375271558761597,0.8346839472651482,0.0002
11,0.0866273821517825,0.8500970571875678,0.09554282918572427,0.8293396985788586,0.0002
12,0.08546760287135839,0.8518116953223944,0.08928228018805384,0.8415992677211761,0.0002
13,0.08023137819487601,0.8608627226949527,0.0872115270420909,0.8450830510258674,0.0002
14,0.0814862970309332,0.8586658058223865,0.0899534254707396,0.8398576063662767,0.0002
15,0.07826413433300332,0.8638900229334832,0.08631536187604069,0.8441633840936035,0.0002
16,0.0775836360733956,0.8648875524677697,0.08939117334783077,0.8395102839457601,0.0001
17,0.06967094663414172,0.8786302481978028,0.08405267992988229,0.8493907445900121,0.0001
18,0.07004201777279377,0.8777418543041189,0.07707657456398011,0.8618753938376904,0.0001
19,0.06938195555703715,0.8790566163513835,0.07962182907387615,0.8566346003400892,0.0001
20,0.06899455030332319,0.8795565102621913,0.07909220944158733,0.8608482048660516,0.0001
21,0.06752816160442307,0.8821223342061404,0.0743404097482562,0.866890154927969,0.0001
22,0.06674786171875895,0.8834531805481892,0.07705418111756444,0.8625885132700205,0.0001
23,0.06705614915350452,0.8826190999165746,0.08075814554467797,0.854177034134677,0.0001
24,0.06611165794078261,0.8842439670177501,0.09314899681136012,0.8346392166800797,5e-05
25,0.0639883544051554,0.8880233591426753,0.07212300323881209,0.8706529534148783,5e-05
26,0.06251974374405109,0.8905688053384437,0.07330640234053135,0.8677682161616892,5e-05
27,0.06268409827258438,0.8901672373908457,0.07330273060128092,0.8681957561063379,5e-05
28,0.0625059877964668,0.8904726322383162,0.0741459003649652,0.8663825485395997,2.5e-05
29,0.06010007200762629,0.8947058411703006,0.07255279995501042,0.869655327229461,2.5e-05
30,0.060323755111312494,0.8944035199672552,0.06945295350626111,0.875308848051986,2.5e-05
