model,sample_id,source_filename,wt_evanyseg_predicted_dice,condition_adherence_dice,predicted_tumour_voxels_lowres,predicted_tumour_fraction_lowres,mean_probability_inside_prediction,empty_prediction
conditional_ldm_v4,0037,conditional_ldm_v4_0037.nii.gz,0.888671875,0.48466059549216256,11267,0.012091131524725275,0.9633896350860596,False
conditional_ldm_v4,0038,conditional_ldm_v4_0038.nii.gz,0.9111328125,0.9142391894337046,27971,0.03001695570054945,0.9859171509742737,False
conditional_ldm_v4,0039,conditional_ldm_v4_0039.nii.gz,0.7421875,0.3645191122076414,10300,0.011053399725274726,0.9613986611366272,False
conditional_ldm_v4,0040,conditional_ldm_v4_0040.nii.gz,0.85595703125,0.25138081744428636,17904,0.019213598901098902,0.9689562916755676,False
conditional_ldm_v4,0041,conditional_ldm_v4_0041.nii.gz,0.89892578125,0.2674562306903875,16652,0.017870020604395603,0.9677760004997253,False
conditional_ldm_v4,0042,conditional_ldm_v4_0042.nii.gz,0.8896484375,0.7036266023886799,11274,0.012098643543956044,0.9737532138824463,False
conditional_ldm_v4,0043,conditional_ldm_v4_0043.nii.gz,0.89013671875,0.8602037728235932,26630,0.028577867445054944,0.9824997782707214,False
conditional_ldm_v4,0044,conditional_ldm_v4_0044.nii.gz,0.8525390625,0.19241192411960595,19386,0.020804000686813186,0.9652751684188843,False
conditional_ldm_v4,0045,conditional_ldm_v4_0045.nii.gz,0.80322265625,0.7510340660873955,12713,0.013642900068681319,0.9697398543357849,False
conditional_ldm_v4,0046,conditional_ldm_v4_0046.nii.gz,0.8681640625,0.6094328358211287,11109,0.011921574519230769,0.9723747968673706,False
conditional_ldm_v4,0047,conditional_ldm_v4_0047.nii.gz,0.88037109375,0.8151666334065795,14208,0.015247252747252747,0.9742782115936279,False
conditional_ldm_v4,0048,conditional_ldm_v4_0048.nii.gz,0.86376953125,5.589402492870388e-13,16746,0.01797089629120879,0.9641657471656799,False
conditional_ldm_v4,0049,conditional_ldm_v4_0049.nii.gz,0.892578125,0.7452264722240961,9667,0.010374098557692307,0.9685906171798706,False
conditional_ldm_v4,0050,conditional_ldm_v4_0050.nii.gz,0.89404296875,0.8812201443780645,24191,0.025960465315934066,0.9807148575782776,False
conditional_ldm_v4,0051,conditional_ldm_v4_0051.nii.gz,0.8818359375,0.6686214043781059,12215,0.013108473557692308,0.9712355136871338,False
conditional_ldm_v4,0052,conditional_ldm_v4_0052.nii.gz,0.9111328125,0.8825206829783903,14951,0.01604459993131868,0.9812402725219727,False
conditional_ldm_v4,0053,conditional_ldm_v4_0053.nii.gz,0.8154296875,0.35521001615541437,15969,0.017137062156593406,0.9687764048576355,False
conditional_ldm_v4,0054,conditional_ldm_v4_0054.nii.gz,0.8984375,0.870315303138318,20505,0.022004850618131868,0.9811080694198608,False
conditional_ldm_v4,0055,conditional_ldm_v4_0055.nii.gz,0.8447265625,0.2423385728829343,14830,0.015914749313186812,0.9659918546676636,False
conditional_ldm_v4,0056,conditional_ldm_v4_0056.nii.gz,0.87939453125,0.7651937721299097,12232,0.013126717032967033,0.9716745615005493,False
conditional_ldm_v4,0057,conditional_ldm_v4_0057.nii.gz,0.87158203125,0.8895779423574798,23404,0.025115899725274726,0.9800686240196228,False
conditional_ldm_v4,0058,conditional_ldm_v4_0058.nii.gz,0.8623046875,0.08787902778949577,11941,0.012814431662087912,0.9658267498016357,False
conditional_ldm_v4,0059,conditional_ldm_v4_0059.nii.gz,0.8408203125,0.5307256819353934,13652,0.014650583791208791,0.9703096747398376,False
conditional_ldm_v4,0060,conditional_ldm_v4_0060.nii.gz,0.90087890625,0.8284892614575398,26590,0.02853494162087912,0.9749060273170471,False
conditional_ldm_v4,0061,conditional_ldm_v4_0061.nii.gz,0.8837890625,0.734225983705004,19131,0.02053034855769231,0.9757561683654785,False
conditional_ldm_v4,0062,conditional_ldm_v4_0062.nii.gz,0.87890625,0.8763609115352949,12092,0.012976476648351649,0.9825577139854431,False
conditional_ldm_v4,0063,conditional_ldm_v4_0063.nii.gz,0.88232421875,0.8594213210008719,18028,0.019346668956043957,0.981166422367096,False
conditional_ldm_v4,0064,conditional_ldm_v4_0064.nii.gz,0.88720703125,0.868359411599404,17047,0.018293913118131867,0.9811903238296509,False
conditional_ldm_v4,0065,conditional_ldm_v4_0065.nii.gz,0.89208984375,0.8813483783400763,25901,0.02779554429945055,0.9804220199584961,False
conditional_ldm_v4,0066,conditional_ldm_v4_0066.nii.gz,0.822265625,0.5703929056898277,21566,0.023143458104395605,0.9742660522460938,False
conditional_ldm_v4,0067,conditional_ldm_v4_0067.nii.gz,0.8837890625,0.8305738953784078,21164,0.02271205357142857,0.9786607027053833,False
conditional_ldm_v4,0068,conditional_ldm_v4_0068.nii.gz,0.84716796875,7.832693663344691e-13,11908,0.012779017857142857,0.9671291708946228,False
conditional_ldm_v4,0069,conditional_ldm_v4_0069.nii.gz,0.92529296875,0.8619440728293595,16582,0.01779490041208791,0.982147753238678,False
conditional_ldm_v4,0070,conditional_ldm_v4_0070.nii.gz,0.8828125,0.8770385594924541,22871,0.02454391311813187,0.9782936573028564,False
conditional_ldm_v4,0071,conditional_ldm_v4_0071.nii.gz,0.91357421875,0.8934888579387372,29324,0.0314689217032967,0.9841110706329346,False
conditional_ldm_v4,0072,conditional_ldm_v4_0072.nii.gz,0.92236328125,0.9083892192838453,15933,0.017098428914835165,0.9886412620544434,False
conditional_ldm_v4,0073,conditional_ldm_v4_0073.nii.gz,0.9052734375,0.8233153223774957,18642,0.020005580357142855,0.9712870121002197,False
conditional_ldm_v4,0074,conditional_ldm_v4_0074.nii.gz,0.88330078125,0.8555068294182131,19276,0.02068595467032967,0.9815569519996643,False
conditional_ldm_v4,0075,conditional_ldm_v4_0075.nii.gz,0.84130859375,0.714647012067449,17000,0.018243475274725276,0.9715306758880615,False
conditional_ldm_v4,0076,conditional_ldm_v4_0076.nii.gz,0.86279296875,0.7817931034483762,12790,0.01372553228021978,0.9741421937942505,False
conditional_ldm_v4,0077,conditional_ldm_v4_0077.nii.gz,0.88330078125,0.6968252592657663,21126,0.022671274038461538,0.9698625802993774,False
conditional_ldm_v4,0078,conditional_ldm_v4_0078.nii.gz,0.85888671875,0.7861488718145583,16441,0.017643586881868133,0.9777435660362244,False
conditional_ldm_v4,0079,conditional_ldm_v4_0079.nii.gz,0.89501953125,0.8731044702395967,22053,0.023666080013736265,0.9817226529121399,False
conditional_ldm_v4,0080,conditional_ldm_v4_0080.nii.gz,0.84716796875,0.2623128074826932,15941,0.01710701407967033,0.9643133282661438,False
conditional_ldm_v4,0081,conditional_ldm_v4_0081.nii.gz,0.8935546875,0.6973509933776266,13285,0.014256739354395604,0.9767922163009644,False
conditional_ldm_v4,0082,conditional_ldm_v4_0082.nii.gz,0.84423828125,0.7729101310205673,15797,0.016952481112637363,0.9773064255714417,False
conditional_ldm_v4,0083,conditional_ldm_v4_0083.nii.gz,0.91845703125,0.7830970640639154,15225,0.016338641826923076,0.9800645709037781,False
conditional_ldm_v4,0084,conditional_ldm_v4_0084.nii.gz,0.90234375,0.8383307868602758,11315,0.012142642513736264,0.9799274206161499,False
conditional_ldm_v4,0085,conditional_ldm_v4_0085.nii.gz,0.91943359375,0.881171181923109,12694,0.013622510302197802,0.9818735122680664,False
conditional_ldm_v4,0086,conditional_ldm_v4_0086.nii.gz,0.84326171875,0.7987856982235667,25912,0.0278073489010989,0.9730359315872192,False
conditional_ldm_v4,0087,conditional_ldm_v4_0087.nii.gz,0.9072265625,0.8950176957072057,27503,0.02951472355769231,0.9797631502151489,False
conditional_ldm_v4,0088,conditional_ldm_v4_0088.nii.gz,0.8125,0.8347805400262669,8512,0.009134615384615385,0.9673225283622742,False
conditional_ldm_v4,0089,conditional_ldm_v4_0089.nii.gz,0.9091796875,0.9208147901268608,26308,0.02823231456043956,0.9852214455604553,False
conditional_ldm_v4,0090,conditional_ldm_v4_0090.nii.gz,0.8466796875,0.8207209357842503,18333,0.019673978365384617,0.9712885618209839,False
conditional_ldm_v4,0091,conditional_ldm_v4_0091.nii.gz,0.90966796875,0.8882691182040807,15146,0.016253863324175825,0.9837296009063721,False
conditional_ldm_v4,0092,conditional_ldm_v4_0092.nii.gz,0.892578125,0.7541011522961475,20852,0.022377232142857143,0.9795939922332764,False
conditional_ldm_v4,0093,conditional_ldm_v4_0093.nii.gz,0.8564453125,0.7111950803883414,15986,0.017155305631868133,0.9715536832809448,False
conditional_ldm_v4,0094,conditional_ldm_v4_0094.nii.gz,0.8857421875,0.839873812660362,28605,0.030697330013736264,0.975412130355835,False
conditional_ldm_v4,0095,conditional_ldm_v4_0095.nii.gz,0.908203125,0.8041769835289755,14822,0.015906164148351647,0.977112889289856,False
conditional_ldm_v4,0096,conditional_ldm_v4_0096.nii.gz,0.87841796875,0.42406218317037914,11435,0.012271419986263736,0.9699138402938843,False
conditional_ldm_v4,0097,conditional_ldm_v4_0097.nii.gz,0.9140625,0.8872972834706381,20352,0.02184065934065934,0.9822986721992493,False
conditional_ldm_v4,0098,conditional_ldm_v4_0098.nii.gz,0.81396484375,0.3649406647081448,20724,0.022239869505494506,0.9724286198616028,False
conditional_ldm_v4,0099,conditional_ldm_v4_0099.nii.gz,0.88427734375,0.8210179199028461,25882,0.02777515453296703,0.9791184067726135,False
