model,sample_id,source_filename,wt_evanyseg_predicted_dice,condition_adherence_dice,predicted_tumour_voxels_lowres,predicted_tumour_fraction_lowres,mean_probability_inside_prediction,empty_prediction
conditional_ddpm_v3,0000,conditional_ddpm_v3_0000.nii.gz,0.85400390625,0.8903947306070746,11450,0.01228751717032967,0.9756138920783997,False
conditional_ddpm_v3,0001,conditional_ddpm_v3_0001.nii.gz,0.833984375,0.8526665166517067,19610,0.021044385302197804,0.9739209413528442,False
conditional_ddpm_v3,0002,conditional_ddpm_v3_0002.nii.gz,0.880859375,0.8828227859212141,18525,0.019880022321428572,0.9800480008125305,False
conditional_ddpm_v3,0003,conditional_ddpm_v3_0003.nii.gz,0.87646484375,0.9415563886003474,22345,0.02397943853021978,0.9868065118789673,False
conditional_ddpm_v3,0004,conditional_ddpm_v3_0004.nii.gz,0.89111328125,0.8564988730278477,15936,0.017101648351648353,0.9841300249099731,False
conditional_ddpm_v3,0005,conditional_ddpm_v3_0005.nii.gz,0.8837890625,0.9488793591714623,31460,0.03376116071428571,0.9851804375648499,False
conditional_ddpm_v3,0006,conditional_ddpm_v3_0006.nii.gz,0.87060546875,0.8812079315991621,6042,0.006483945741758242,0.9728149771690369,False
conditional_ddpm_v3,0007,conditional_ddpm_v3_0007.nii.gz,0.87744140625,0.8626198083067393,23533,0.025254335508241757,0.9781613349914551,False
conditional_ddpm_v3,0008,conditional_ddpm_v3_0008.nii.gz,0.76220703125,0.2830392968605292,13354,0.0143307864010989,0.9683263897895813,False
conditional_ddpm_v3,0009,conditional_ddpm_v3_0009.nii.gz,0.8173828125,0.4083831690106091,14504,0.015564903846153846,0.963840663433075,False
conditional_ddpm_v3,0010,conditional_ddpm_v3_0010.nii.gz,0.8623046875,0.6939754012926339,12309,0.013209349244505494,0.9727676510810852,False
conditional_ddpm_v3,0011,conditional_ddpm_v3_0011.nii.gz,0.84716796875,0.5971408088392034,16343,0.01753841861263736,0.975661039352417,False
conditional_ddpm_v3,0012,conditional_ddpm_v3_0012.nii.gz,0.8876953125,0.9070398090899432,24172,0.02594007554945055,0.979525625705719,False
conditional_ddpm_v3,0013,conditional_ddpm_v3_0013.nii.gz,0.89892578125,0.9086479303046935,21410,0.022976047390109892,0.9824839234352112,False
conditional_ddpm_v3,0014,conditional_ddpm_v3_0014.nii.gz,0.83203125,0.23871788349059336,17082,0.018331473214285715,0.9597211480140686,False
conditional_ddpm_v3,0015,conditional_ddpm_v3_0015.nii.gz,0.81884765625,0.6918623702895436,23228,0.0249270260989011,0.9705289602279663,False
conditional_ddpm_v3,0016,conditional_ddpm_v3_0016.nii.gz,0.7158203125,0.6655560844045173,8253,0.008856670673076923,0.9619388580322266,False
conditional_ddpm_v3,0017,conditional_ddpm_v3_0017.nii.gz,0.8759765625,0.88592222557173,12404,0.013311298076923076,0.9780460596084595,False
conditional_ddpm_v3,0018,conditional_ddpm_v3_0018.nii.gz,0.80078125,0.25902072496108536,20810,0.022332160027472528,0.9664814472198486,False
conditional_ddpm_v3,0019,conditional_ddpm_v3_0019.nii.gz,0.87841796875,0.7902066605239463,22056,0.02366929945054945,0.979804277420044,False
conditional_ddpm_v3,0020,conditional_ddpm_v3_0020.nii.gz,0.9091796875,0.9353799698037405,19464,0.020887706043956043,0.9843072891235352,False
conditional_ddpm_v3,0021,conditional_ddpm_v3_0021.nii.gz,0.873046875,0.9318343294186768,12466,0.013377833104395604,0.9855027794837952,False
conditional_ddpm_v3,0022,conditional_ddpm_v3_0022.nii.gz,0.84912109375,0.3219197305644485,17744,0.019041895604395603,0.9689853191375732,False
