model,model_display_name,WT_EvanySeg,WT_EvanySeg_CI95_lower,WT_EvanySeg_CI95_upper,WT_condition_adherence_Dice,FID,KID,sFID,Precision,Recall,Density,Coverage,FRD,RadFID,MedFID,Vendi,AuthPct,ASW
ddpm_v5,DDPM V5,0.7989599609375,0.7899412841796875,0.8076099853515625,,118.09507666301646,0.11582525048718852,30.616113695300072,0.75,0.24,0.20700000000000002,0.105,58.14404754021522,0.0,0.6867807109813225,2.2291309727560886,92.0,0.4875267343069559
conditional_ddpm_v3,Conditional DDPM V3,0.852431640625,0.8468041381835938,0.8577662353515625,0.6841318523699236,146.4712410746308,0.149751535459376,32.791885763540996,0.885,0.38,0.29200000000000004,0.16,,0.0,0.44647222684327376,2.8685463913605873,87.0,0.3980132352889115
conditional_ldm_v4,Conditional LDM V4,0.86901123046875,0.8633690795898438,0.8744360961914063,0.6661715507524589,72.98970302008634,0.052912905522739445,7.759118944852566,1.0,0.79,1.224,0.865,,0.0,0.128687971121938,3.4274449471091866,69.5,0.16910297715722972
