model,model_display_name,n_volumes,wt_evanyseg_mean,wt_evanyseg_std,wt_evanyseg_median,wt_evanyseg_ci95_lower,wt_evanyseg_ci95_upper,condition_adherence_dice_mean,condition_adherence_dice_std,empty_prediction_percentage
conditional_ldm_v4,Conditional LDM V4,200,0.86901123046875,0.04040260495969819,0.88037109375,0.8633690795898438,0.8744360961914063,0.6661715507524589,0.24674205706582242,0.0
conditional_ddpm_v3,Conditional DDPM V3,200,0.852431640625,0.040171973496162076,0.859619140625,0.8468041381835938,0.8577662353515625,0.6841318523699236,0.25394319312715086,0.0
ddpm_v5,DDPM V5,200,0.7989599609375,0.06395321508480489,0.8095703125,0.7899412841796875,0.8076099853515625,,,0.0
