epoch,train_mse,val_mse,val_mae,val_rmse,val_pearson,learning_rate
1,0.023593772456069927,0.037859332549459605,0.1484702406451106,0.19457474862482868,0.14307765780860143,0.0001
2,0.022035961308742677,0.03893852689428828,0.14571314802250038,0.1973284759887875,0.5374653620973647,0.0001
3,0.02108308577738241,0.029980067181615874,0.13784570079296826,0.17314752971590736,0.5048943882315213,0.0001
4,0.019919082972837013,0.03770874810742009,0.1497267987149266,0.19418740544535082,-0.031834065622898505,0.0001
5,0.02291190720980187,0.038688607370736115,0.14866171047951166,0.1966941993595399,0.19746078546390103,0.0001
6,0.021981884309374995,0.03909076389043968,0.14896031324393474,0.19771384491809524,0.0939894471462094,5e-05
7,0.021549900664943448,0.03418767706943282,0.1425784081650468,0.18489910043102045,0.40295126655780483,5e-05
8,0.0173581216281351,0.027688969399269597,0.12784986110547414,0.16640002903229872,0.5439978823753537,5e-05
9,0.01530410388994334,0.02620128643712423,0.11960296337134563,0.16186811424433795,0.6263731201982469,5e-05
10,0.013659825824186974,0.02009948797203833,0.11104863932212958,0.14177266263308375,0.6776805554885059,5e-05
11,0.011481996149878061,0.02069329644431351,0.1004321392195729,0.14385164703596498,0.6903630842288228,5e-05
12,0.011284935962493574,0.023061597165360583,0.10671914797276258,0.15186045342423443,0.6707760595284169,5e-05
13,0.011320434637564877,0.01989135840703966,0.10351650673322953,0.1410367277959279,0.699734972039725,5e-05
14,0.00980294449199601,0.017693854170032025,0.10303940823158393,0.13301824693216077,0.7498720759958529,2.5e-05
15,0.008856810662749782,0.016045254984951147,0.09038755852155961,0.12666986601455513,0.7522318818302279,2.5e-05
16,0.00798521769295261,0.014982490590101896,0.08977897882174987,0.12240298360362155,0.7725061615872858,2.5e-05
17,0.007629364080415913,0.01444331645992721,0.08554372356201594,0.12018035026553704,0.7834929310620463,2.5e-05
18,0.0070911492352829205,0.016033027407460255,0.0883871342556981,0.1266215911857844,0.7747678227851714,2.5e-05
19,0.00620764169844108,0.014485042596285124,0.08422252173320605,0.1203538223488719,0.7759532403634105,2.5e-05
20,0.006018405439978708,0.019476925790961386,0.0949297178679934,0.13955975695572104,0.7470537991893561,2.5e-05
21,0.006053487926518004,0.018437571421390412,0.09306736615701364,0.13578501868360388,0.7562327554654599,2.5e-05
22,0.005642235152703716,0.013825678228707916,0.08385109149206144,0.11758264431346471,0.7879549073531571,2.5e-05
23,0.00552473120584584,0.015763125900999653,0.0848362473770976,0.12555128687052045,0.7645362494147624,2.5e-05
24,0.0052481478423820034,0.013715334594822846,0.08157197608110997,0.11711248615254546,0.790514706079897,2.5e-05
25,0.005108359526607624,0.014955000905306055,0.08306912050510828,0.12229064103104215,0.7777472633337522,2.5e-05
26,0.005358722520075459,0.016145834879828794,0.08526841612676016,0.1270662617323737,0.7704253865166529,2.5e-05
27,0.004996808901968017,0.014936268187060564,0.08318371043468897,0.12221402514984593,0.7704362134993284,1.25e-05
28,0.004289792356196533,0.015405316632285785,0.08329896610230207,0.12411815598507271,0.7677409992785192,1.25e-05
29,0.00452897305398035,0.014544523849032815,0.08292598040917745,0.1206006789319327,0.7798399459210679,1.25e-05
30,0.004033942236034049,0.01453080484716338,0.08193228845126353,0.12054378775359881,0.7774229921658917,6.25e-06
31,0.003875142240443753,0.014372555910533545,0.0810713066934393,0.11988559443920559,0.7821119113129417,6.25e-06
32,0.003837444076294962,0.014719534751475295,0.08289140742272139,0.12132409033996602,0.7807714853182077,6.25e-06
33,0.003970852798697968,0.014028225555781459,0.08106736911890598,0.11844081058471542,0.7882455529152376,6.25e-06
34,0.0037392231826708245,0.014926737898069685,0.08235330631813177,0.12217503003073826,0.7817265835488376,3.125e-06
35,0.0036735224956944332,0.014565689565027311,0.0818975953385234,0.12068839852998944,0.7828305294466111,3.125e-06
36,0.003681665082981803,0.014608923535161012,0.08179246283207948,0.1208673795931358,0.7819163643685886,3.125e-06
37,0.0035562497999089477,0.014776283174195179,0.0821037143898698,0.12155773577570513,0.7791347182257791,1.5625e-06
38,0.003617614697728409,0.01435251614324303,0.08153392539287989,0.11980198756247494,0.7840104357620514,1.5625e-06
39,0.0034629079107875126,0.014520076972971415,0.08155084164956442,0.120499282124483,0.7836398253734232,1.5625e-06
40,0.0034855365237455352,0.014200404004588144,0.08152093914552377,0.11916544849766074,0.7847224277194161,1e-06
