Model,Plane,FID,KID,sFID,RadFID
ddpm_v5,axial,98.54032370984022,0.08820280097579392,32.17437682668123,0.0
ddpm_v5,coronal,137.4686620593663,0.13894574989213715,27.740652837453016,0.0
ddpm_v5,sagittal,118.27624421984285,0.12032720059363448,31.933311421765957,0.0
conditional_ddpm_v3,axial,134.29923504655926,0.13254876275870192,31.876692401974346,0.0
conditional_ddpm_v3,coronal,169.08640633740293,0.17774430986634174,28.91776478829282,0.0
conditional_ddpm_v3,sagittal,136.0280818399302,0.13896153375308434,37.58120010035584,0.0
conditional_ldm_v4,axial,85.04205464452848,0.06273728619226633,11.606131748311665,0.0
conditional_ldm_v4,coronal,64.95089458907556,0.044213296461924845,5.328206331694725,0.0
conditional_ldm_v4,sagittal,68.97615982665496,0.05178813391402717,6.343018754551305,0.0
