dataset,filename,valid_shape,all_finite,within_0_1,min,max,mean,std
real,real_0061.nii.gz,True,True,True,0.0,1.0,0.1124848946928978,0.25202205777168274
real,real_0062.nii.gz,True,True,True,0.0,1.0,0.10735312849283218,0.22909988462924957
real,real_0063.nii.gz,True,True,True,0.0,1.0,0.08233976364135742,0.1797402799129486
real,real_0064.nii.gz,True,True,True,0.0,1.0,0.09140203893184662,0.20235902070999146
real,real_0065.nii.gz,True,True,True,0.0,1.0,0.12068583816289902,0.24232235550880432
real,real_0066.nii.gz,True,True,True,0.0,1.0,0.05787484347820282,0.13340555131435394
real,real_0067.nii.gz,True,True,True,0.0,1.0,0.09600768983364105,0.22656865417957306
real,real_0068.nii.gz,True,True,True,0.0,1.0,0.08833462744951248,0.19938655197620392
real,real_0069.nii.gz,True,True,True,0.0,1.0,0.0683390349149704,0.16072183847427368
real,real_0070.nii.gz,True,True,True,0.0,1.0,0.06708624213933945,0.13747745752334595
real,real_0071.nii.gz,True,True,True,0.0,1.0,0.10591144859790802,0.21244017779827118
real,real_0072.nii.gz,True,True,True,0.0,1.0,0.08463743329048157,0.1837814748287201
real,real_0073.nii.gz,True,True,True,0.0,1.0,0.050822846591472626,0.11452822387218475
real,real_0074.nii.gz,True,True,True,0.0,1.0,0.1105390414595604,0.19596004486083984
real,real_0075.nii.gz,True,True,True,0.0,1.0,0.10676291584968567,0.20597699284553528
real,real_0076.nii.gz,True,True,True,0.0,1.0,0.1009557694196701,0.21274806559085846
real,real_0077.nii.gz,True,True,True,0.0,1.0,0.09796389192342758,0.22236889600753784
real,real_0078.nii.gz,True,True,True,0.0,1.0,0.05621761456131935,0.12642402946949005
real,real_0079.nii.gz,True,True,True,0.0,1.0,0.11513916403055191,0.2599915862083435
real,real_0080.nii.gz,True,True,True,0.0,1.0,0.11787446588277817,0.24594959616661072
real,real_0081.nii.gz,True,True,True,0.0,1.0,0.035092033445835114,0.0885009840130806
real,real_0082.nii.gz,True,True,True,0.0,1.0,0.06247733160853386,0.13799051940441132
real,real_0083.nii.gz,True,True,True,0.0,1.0,0.07832635194063187,0.15866923332214355
real,real_0084.nii.gz,True,True,True,0.0,1.0,0.12326949089765549,0.238848477602005
real,real_0085.nii.gz,True,True,True,0.0,1.0,0.06599316000938416,0.13020208477973938
real,real_0086.nii.gz,True,True,True,0.0,1.0,0.10417300462722778,0.20405367016792297
real,real_0087.nii.gz,True,True,True,0.0,1.0,0.09509750455617905,0.20330996811389923
