Model,FRD,FRD version,Workers,Elapsed hours
ddpm_v5,58.14404754021522,v1,1,2.417382378261019
conditional_ddpm_v3,58.11269617810514,v1,1,2.3527105310675687
conditional_ldm_v4,51.152709371010616,v1,1,2.2644950880397423
